534		B		21280		1070
535		B		21320		1089
536		P		21480		1922
537		B		21400		715
538		B		21440		935
539		I		21600		4210
540		B		21520		1240
541		B		21560		1339
542		P		21720		2744
543		B		21640		1387
544		B		21680		1220
545		P		21840		2303
546		B		21760		913
547		B		21800		996
548		P		21960		2180
549		B		21880		1230
550		B		21920		1137
551		I		22080		4541
552		B		22000		487
553		B		22040		234
554		P		22200		825
555		B		22120		287
556		B		22160		298
557		P		22320		1182
558		B		22240		276
559		B		22280		244
560		P		22440		937
561		B		22360		451
562		B		22400		474
563		I		22560		4513
564		B		22480		304
565		B		22520		107
566		P		22680		920
567		B		22600		180
568		B		22640		314
569		P		22800		1606
570		B		22720		909
571		B		22760		855
572		P		22920		1096
573		B		22840		253
574		B		22880		206
575		I		23040		4666
576		B		22960		697
577		B		23000		686
578		P		23160		1115
579		B		23080		183
580		B		23120		266
581		P		23280		1107
582		B		23200		647
583		B		23240		665
584		P		23400		1215
585		B		23320		292
586		B		23360		396
587		I		23520		4412
588		B		23440		513
589		B		23480		585
590		P		23640		1627
591		B		23560		663
592		B		23600		528
593		P		23760		1439
594		B		23680		317
595		B		23720		339
596		P		23880		1783
597		B		23800		1079
598		B		23840		1085
599		I		24000		4612
600		B		23920		339
601		B		23960		219
602		P		24120		1638
603		B		24040		855
604		B		24080		896
605		P		24240		1605
606		B		24160		455
607		B		24200		377
608		P		24360		1324
609		B		24280		647
610		B		24320		721
611		I		24480		4400
612		B		24400		344
613		B		24440		152
614		P		24600		967
615		B		24520		338
616		B		24560		372
617		P		24720		1223
618		B		24640		608
619		B		24680		552
620		P		24840		1146
621		B		24760		303
622		B		24800		236
623		I		24960		4293
624		B		24880		598
625		B		24920		584
626		P		25080		801
627		B		25000		142
628		B		25040		168
629		P		25200		919
630		B		25120		372
631		B		25160		350
632		P		25320		641
633		B		25240		179
634		B		25280		200
635		I		25440		4099
636		B		25360		231
637		B		25400		241
638		P		25560		717
639		B		25480		277
640		B		25520		227
641		P		25680		4710
642		B		25600		227
643		B		25640		565
644		P		25800		1757
645		B		25720		575
646		B		25760		542
647		I		25920		6723
648		B		25840		575
649		B		25880		540
650		P		26040		2077
651		B		25960		577
652		B		26000		1136
653		P		26160		1534
654		B		26080		532
655		B		26120		595
656		P		26280		1599
657		B		26200		570
658		B		26240		582
659		I		26400		6465
660		B		26320		286
661		B		26360		265
662		P		26520		2016
663		B		26440		502
664		B		26480		533
665		P		26640		2604
666		B		26560		972
667		B		26600		862
668		P		26760		3251
669		B		26680		1262
670		B		26720		1436
671		I		26880		6620
672		B		26800		1370
673		B		26840		1162
674		P		27000		2980
675		B		26920		1233
676		B		26960		1565
677		P		27120		3024
678		B		27040		1734
679		B		27080		1437
680		P		27240		3039
681		B		27160		1384
682		B		27200		1403
683		I		27360		5425
684		B		27280		1611
685		B		27320		1631
686		P		27480		3191
687		B		27400		1169
688		B		27440		1205
689		P		27600		2778
690		B		27520		1275
691		B		27560		1654
692		P		27720		2852
693		B		27640		1599
694		B		27680		1603
695		I		27840		5447
696		B		27760		1436
697		B		27800		1516
698		P		27960		2330
699		B		27880		1276
700		B		27920		1178
701		P		28080		2450
702		B		28000		1305
703		B		28040		1488
704		P		28200		2418
705		B		28120		1620
706		B		28160		1411
707		I		28320		5006
708		B		28240		808
709		B		28280		681
710		P		28440		1844
711		B		28360		1142
712		B		28400		1232
713		P		28560		2141
714		B		28480		1242
715		B		28520		1205
716		P		28680		1974
717		B		28600		1118
718		B		28640		1120
719		I		28800		4710
720		B		28720		1247
721		B		28760		1211
722		P		28920		2074
723		B		28840		1308
724		B		28880		1449
725		P		29040		1892
726		B		28960		931
727		B		29000		971
728		P		29160		1760
729		B		29080		829
730		B		29120		911
731		I		29280		3611
732		B		29200		1297
733		B		29240		1066
734		P		29400		1719
735		B		29320		570
736		B		29360		727
737		P		29520		1894
738		B		29440		939
739		B		29480		1027
740		P		29640		1743
741		B		29560		370
742		B		29600		625
743		I		29760		3930
744		B		29680		1918
745		B		29720		1802
746		P		29880		1177
747		B		29800		2110
748		B		29840		462
749		P		30000		681
750		B		29920		488
751		B		29960		459
752		P		30120		3412
753		B		30040		1645
754		B		30080		1540
755		I		30240		5928
756		B		30160		254
757		B		30200		264
758		P		30360		802
759		B		30280		196
760		B		30320		232
761		P		30480		922
762		B		30400		191
